dataset,method,method_label,seed,run_id,sample_index,question,choices,prediction_text,parsed_answer,gold_answer,valid,correct,best_test_acc,final_test_acc,checkpoint_path
vqa_rad_closed,base,Base,44,base_zero_shot,0,Where is the opacity located?,"Right of the midline, superior to the right hilum | not shown | uncertain | other",A,A,A,True,True,,,
vqa_rad_closed,base,Base,44,base_zero_shot,63,Is the skull fractured?,yes | no |  | ,B,B,B,True,True,,,
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,0,Where is the opacity located?,"Right of the midline, superior to the right hilum | not shown | uncertain | other",A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,1,What is the patient's gender?,Female | not shown | uncertain | other,B,B,A,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,2,Which ventricle is the mass located in?,4th ventricle | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,3,The image probably had what incidental finding?,cavum vergae | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,4,Is there a shift of midline structures?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,5,This image is consistent with what condition?,appendicitis | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,6,Is this in a coronal plane?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,7,Which lung lobe has the least opacities?,Upper left | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,8,Is the heart wider than more than half the width of the thorax?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,9,Is there cortical atrophy?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,10,IS this a neoplastic process?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,11,Do you see cardiomegaly?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,12,Where is the lesion located?,Right cerebellopontine angle | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,13,Is the vertebrae fractured?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,14,What structure is depicted?,brain | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,15,Is the fat surrounding the pancreas normal?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,16,What abnormalities are in the lung apices?,Nodular opacities | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,17,Are the costophrenic angles preserved?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,18,Is there cardiomegaly present?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,19,Which kidney has fluid around it?,Right | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,20,What are the hyperdensities on the periphery of the image?,Ribs | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,21,Are lung markings present in the entire thoracic cavity?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,22,Is there evidence of a pneumoperitoneum?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,23,Is there any tracheal deviation present?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,24,What plane is the above image acquired in?,axial | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,25,Where does the L renal vein connect to,IVC | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,26,Is the aorta dilated?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,27,Are the lungs normal?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,28,Is there free air in the abdomen?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,29,What characteristic finding do you see in the aortopulmonary window?,middle mogul | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,30,What are the hyperdense opacities located around the periphery?,Ribs | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,31,Is there air present under the diaphragm?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,32,Is there evidence of an aortic aneurysm?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,33,are there increased vascular markings,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,34,Are the hepatic lesions ring enhancing?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,35,Is this a pleural effusion,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,36,What type of artifact is shown in this image?,Motion | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,37,Is there more than one organ system present in the image?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,38,Is this an axial or saggital view of the brain?,Axial | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,39,What is the pathology?,Diverticulitis | not shown | uncertain | other,C,C,A,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,40,Where is the pleural effusion located?,Right side | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,41,Are the bronchial airways enlarged?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,42,Are the sulci abnormal?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,43,Is this an axial view of the brain?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,44,Is this a contrast-enhanced CT?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,45,Is the appendix enlarged?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,46,Are liver findings normal?,yes | no |  | ,B,B,A,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,47,Is there a widened mediastinum?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,48,Can you evaluate a mediastinum in the shown image?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,49,Is the gallbladder present?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,50,Is the diaphragm obscured?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,51,Is this image normal or abnormal?,Abnormal | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,52,Is there free air present?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,53,The lesion is isointense to what object normally found in the brain?,CSF | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,54,Is the mediastinum visualized?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,55,Is the appendix normal in size?,yes | no |  | ,B,B,A,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,56,What is this lucency amid densities in the right lung?,The right bronchus | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,57,Where is the tip of the line?,mid left subclavian vein | not shown | uncertain | other,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,58,Is the left lung field more radioopaque than the right side?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,59,Has the midline of the mediastinum shifted?,yes | no |  | ,A,A,B,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,60,What is the biological sex of the patient?,Female | not shown | uncertain | other,C,C,A,True,False,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,61,Do the kidneys appear to be normal?,yes | no |  | ,A,A,A,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,62,Is this a CT image?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,caa_fedbuff_v2,CAA-v2,44,caa_fedbuff_v2_vqa_rad_closed_20260602_021123,63,Is the skull fractured?,yes | no |  | ,B,B,B,True,True,0.875,0.875,checkpoints/caa_fedbuff_v2_vqa_rad_closed_20260602_021123_best.pt
vqa_rad_closed,naive_async,Naive Async,44,naive_async_vqa_rad_closed_20260602_020504,0,Where is the opacity located?,"Right of the midline, superior to the right hilum | not shown | uncertain | other",A,A,A,True,True,0.875,0.875,checkpoints/naive_async_vqa_rad_closed_20260602_020504_best.pt
